timestamp,P_X,P_Y,P_Z,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,s_variance_m_s,c_variance_rad,fix_quality,sAcc,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,status0,status1,fix_type,vel_ned_valid,satellites_used,gps_kind
29781528,0,0,0,0,282419009,1129934185,132173,115440,368274400,0.0,0.0,0,3,1.0090001,1.9840001,0.79999995,3.8,0,0,0.049999997,-0.01,-0.02,0.049999997,0.6910013,-29781528,13,13,3,1,15,3
29979725,0,0,0,0,282419008,1129934185,132148,115415,368274600,0.0,0.0,0,3,0.99000007,1.9460001,0.79999995,3.8,0,0,0.06,0.0,0.0,0.06,0.71543574,-29979725,13,13,3,1,15,3
30181597,0,0,0,0,282419007,1129934183,132108,115375,368274800,0.0,0.0,0,3,0.97200006,1.9100001,0.79999995,3.8,0,0,0.049999997,0.049999997,0.01,-0.01,0.73696226,-30181597,13,13,3,1,15,3
30382836,0,0,0,0,282419006,1129934183,132082,115349,368275000,0.0,0.0,0,3,0.95400006,1.876,0.79999995,3.8,0,0,0.07,0.0,0.02,-0.07,0.75306815,-30382836,13,13,3,1,15,3
30583775,0,0,0,0,282419005,1129934183,132053,115320,368275200,0.0,0.0,0,3,0.938,1.843,0.79999995,3.8,0,0,0.14,0.12,0.02,-0.06,0.77361035,-30583775,13,13,3,1,15,3
30785526,0,0,0,0,282419004,1129934182,132033,115300,368275400,0.0,0.0,0,3,0.92200005,1.8130001,0.79999995,3.8,0,0,0.03,0.03,0.0,0.0,0.79475325,-30785526,13,13,3,1,15,3
30977837,0,0,0,0,282419005,1129934183,132073,115340,368275600,0.0,0.0,0,3,0.90700006,1.7830001,0.79999995,3.8,0,0,0.089999996,0.049999997,0.01,-0.07,0.8191542,-30977837,13,13,3,1,15,3
31177531,0,0,0,0,282419006,1129934184,132104,115371,368275800,0.0,0.0,0,3,0.89300007,1.7550001,0.79999995,3.8,0,0,0.049999997,0.049999997,-0.01,0.0,0.8359481,-31177531,13,13,3,1,15,3
31380528,0,0,0,0,282419008,1129934186,132128,115395,368276000,0.0,0.0,0,3,0.88000005,1.7290001,0.79999995,3.8,0,0,0.03,0.0,0.01,-0.02,0.85295594,-31380528,13,13,3,1,15,3
31584620,0,0,0,0,282419010,1129934186,132154,115421,368276200,0.0,0.0,0,3,0.86700004,1.7030001,0.79999995,3.8,0,0,0.04,-0.01,-0.01,0.04,0.86354226,-31584620,13,13,3,1,15,3
31784631,0,0,0,0,282419012,1129934188,132178,115446,368276400,0.0,0.0,0,3,0.85400003,1.6790001,0.79999995,3.8,0,0,0.089999996,0.02,0.0,0.08,0.8752922,-31784631,13,13,3,1,15,3
31984528,0,0,0,0,282419014,1129934189,132196,115463,368276600,0.0,0.0,0,3,0.84200007,1.6560001,0.79999995,3.8,0,0,0.08,0.06,0.02,-0.049999997,0.8852603,-31984528,13,13,3,1,15,3
32164573,0,0,0,0,282419015,1129934189,132223,115490,368276800,0.0,0.0,0,3,0.83100003,1.6330001,0.79999995,3.8,0,0,0.08,-0.08,0.0,0.01,0.8852603,-32164573,13,13,3,1,15,3
32385528,0,0,0,0,282419017,1129934191,132263,115530,368277000,0.0,0.0,0,3,0.82000005,1.6120001,0.79999995,3.8,0,0,0.01,-0.01,0.0,0.0,0.8863647,-32385528,13,13,3,1,15,3
32576532,0,0,0,0,282419019,1129934192,132295,115562,368277200,0.0,0.0,0,3,0.81000006,1.5910001,0.79999995,3.8,0,0,0.12,-0.049999997,-0.04,0.099999994,0.8898351,-32576532,13,13,3,1,15,3
32777562,0,0,0,0,282419019,1129934192,132339,115607,368277400,0.0,0.0,0,3,0.799,1.5710001,0.79999995,3.8,0,0,0.01,0.01,0.0,0.0,0.89260393,-32777562,13,13,3,1,15,3
32978682,0,0,0,0,282419021,1129934194,132397,115664,368277600,0.0,0.0,0,3,0.79,1.552,0.79999995,3.8,0,0,0.089999996,0.08,0.01,0.0,0.90188766,-32978682,13,13,3,1,15,3
33179637,0,0,0,0,282419024,1129934196,132465,115732,368277800,0.0,0.0,0,3,0.78000003,1.534,0.79999995,3.8,0,0,0.02,-0.01,0.0,0.0,0.888882,-33179637,13,13,3,1,15,3
