timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
4772687,225.29738,45.219997,98648.0,1.1721014
4783448,225.38457,45.219997,98647.0,1.1720896
4794519,225.21281,45.219997,98649.0,1.1721133
4815447,225.38457,45.219997,98647.0,1.1720896
4825450,225.7228,45.219997,98643.0,1.172042
4836666,225.21281,45.219997,98649.0,1.1721133
4858513,225.9791,45.219997,98640.0,1.1720064
4868729,225.29738,45.219997,98648.0,1.1721014
4879448,225.80998,45.219997,98642.0,1.1720301
4900696,225.29738,45.219997,98648.0,1.1721014
4911436,225.12827,45.219997,98650.0,1.1721252
4922495,225.46913,45.219997,98646.0,1.1720777
4943436,225.55368,45.219997,98644.99,1.1720657
4954840,225.29738,45.219997,98648.0,1.1721014
4965739,225.63823,45.219997,98644.0,1.1720539
4987439,225.89455,45.219997,98641.0,1.1720183
4998615,225.29738,45.219997,98648.0,1.1721014
5009448,225.46913,45.219997,98646.0,1.1720777
5031445,225.80998,45.219997,98642.0,1.1720301
5041444,225.63823,45.219997,98644.0,1.1720539
5052436,225.55368,45.219997,98644.99,1.1720657
5073470,225.29738,45.219997,98648.0,1.1721014
5084248,225.63823,45.219997,98644.0,1.1720539
5095143,225.12827,45.219997,98650.0,1.1721252
5115523,224.95915,45.219997,98651.99,1.1721488
5127367,225.80998,45.219997,98642.0,1.1720301
5137447,225.55368,45.219997,98644.99,1.1720657
5159135,225.63823,45.219997,98644.0,1.1720539
5169441,225.7228,45.219997,98643.0,1.172042
5179842,225.55368,45.219997,98644.99,1.1720657
5203839,225.46913,45.219997,98646.0,1.1720777
5215144,225.38457,45.219997,98647.0,1.1720896
5225443,225.38457,45.219997,98647.0,1.1720896
5247439,225.63823,45.219997,98644.0,1.1720539
5257436,224.87196,45.219997,98653.0,1.1721609
5268436,225.9791,45.219997,98640.0,1.1720064
5289436,225.21281,45.23,98649.0,1.1721133
5299874,225.29738,45.23,98648.0,1.1721014
5311123,225.21281,45.23,98649.0,1.1721133
5331581,224.95915,45.219997,98651.99,1.1721488
5343119,225.38457,45.219997,98647.0,1.1720896
5353436,225.55368,45.219997,98644.99,1.1720657
5375096,225.55368,45.219997,98644.99,1.1720657
5385436,224.95915,45.219997,98651.99,1.1721488
5396454,225.63823,45.219997,98644.0,1.1720539
5417467,225.38457,45.23,98647.0,1.1720896
5428308,225.55368,45.23,98644.99,1.1720657
5439109,225.38457,45.23,98647.0,1.1720896
5459466,225.04372,45.219997,98650.99,1.172137
5471267,224.87196,45.219997,98653.0,1.1721609
5481449,225.55368,45.219997,98644.99,1.1720657
5503135,225.12827,45.219997,98650.0,1.1721252
5513448,225.29738,45.219997,98648.0,1.1721014
5523796,225.46913,45.219997,98646.0,1.1720777
5545447,225.12827,45.219997,98650.0,1.1721252
5556436,225.46913,45.219997,98646.0,1.1720777
5567077,225.55368,45.219997,98644.99,1.1720657
5587456,225.46913,45.219997,98646.0,1.1720777
5599129,225.55368,45.219997,98644.99,1.1720657
5609506,225.55368,45.219997,98644.99,1.1720657
5631412,224.95915,45.219997,98651.99,1.1721488
5643500,225.29738,45.219997,98648.0,1.1721014
5655106,225.29738,45.219997,98648.0,1.1721014
5675797,225.63823,45.219997,98644.0,1.1720539
5687065,225.29738,45.219997,98648.0,1.1721014
5697447,225.21281,45.219997,98649.0,1.1721133
5719303,225.55368,45.219997,98644.99,1.1720657
5729441,225.80998,45.219997,98642.0,1.1720301
5740556,225.46913,45.219997,98646.0,1.1720777
5761482,225.21281,45.219997,98649.0,1.1721133
5772351,225.55368,45.219997,98644.99,1.1720657
5782563,225.29738,45.219997,98648.0,1.1721014
5803511,225.55368,45.219997,98644.99,1.1720657
5813786,225.89455,45.219997,98641.0,1.1720183
5824701,225.80998,45.219997,98642.0,1.1720301
5846560,225.55368,45.219997,98644.99,1.1720657
5857446,225.7228,45.219997,98643.0,1.172042
5867436,225.46913,45.219997,98646.0,1.1720777
5888700,224.95915,45.219997,98651.99,1.1721488
5899448,225.63823,45.219997,98644.0,1.1720539
5910498,225.63823,45.219997,98644.0,1.1720539
5931494,226.2354,45.219997,98637.0,1.1719707
5942548,225.38457,45.219997,98647.0,1.1720896
5953445,225.38457,45.219997,98647.0,1.1720896
5974513,225.46913,45.219997,98646.0,1.1720777
5984711,225.7228,45.219997,98643.0,1.172042
5995454,225.21281,45.219997,98649.0,1.1721133
6016705,225.55368,45.219997,98644.99,1.1720657
6027495,225.12827,45.219997,98650.0,1.1721252
6037529,226.06364,45.219997,98638.99,1.1719944
6059464,224.87196,45.219997,98653.0,1.1721609
6069857,225.63823,45.219997,98644.0,1.1720539
6080716,225.29738,45.219997,98648.0,1.1721014
6102516,224.78741,45.219997,98654.0,1.1721727
6112715,225.38457,45.219997,98647.0,1.1720896
6123436,225.63823,45.219997,98644.0,1.1720539
6144723,225.46913,45.219997,98646.0,1.1720777
6155536,225.21281,45.219997,98649.0,1.1721133
6166507,225.7228,45.219997,98643.0,1.172042
6187448,225.29738,45.219997,98648.0,1.1721014
6198506,225.38457,45.219997,98647.0,1.1720896
6209511,225.55368,45.219997,98644.99,1.1720657
6231448,225.46913,45.219997,98646.0,1.1720777
6241505,225.21281,45.219997,98649.0,1.1721133
6252436,225.46913,45.219997,98646.0,1.1720777
6273595,225.38457,45.219997,98647.0,1.1720896
6284448,225.89455,45.219997,98641.0,1.1720183
6295436,225.55368,45.219997,98644.99,1.1720657
6317927,225.9791,45.219997,98640.0,1.1720064
6328436,225.12827,45.219997,98650.0,1.1721252
6339446,225.12827,45.219997,98650.0,1.1721252
6361549,225.21281,45.219997,98649.0,1.1721133
6372436,225.55368,45.219997,98644.99,1.1720657
6383485,225.63823,45.219997,98644.0,1.1720539
6404483,225.38457,45.219997,98647.0,1.1720896
6415442,225.63823,45.219997,98644.0,1.1720539
6426579,225.38457,45.219997,98647.0,1.1720896
6447482,225.46913,45.21,98646.0,1.1720777
6457489,225.80998,45.21,98642.0,1.1720301
6468447,225.46913,45.21,98646.0,1.1720777
6490604,225.55368,45.219997,98644.99,1.1720657
6500438,225.46913,45.219997,98646.0,1.1720777
6511436,225.63823,45.219997,98644.0,1.1720539
6533436,225.46913,45.219997,98646.0,1.1720777
6544183,225.46913,45.219997,98646.0,1.1720777
6555128,225.80998,45.219997,98642.0,1.1720301
6576505,225.12827,45.219997,98650.0,1.1721252
6587187,225.04372,45.219997,98650.99,1.172137
6597508,225.38457,45.219997,98647.0,1.1720896
6619436,225.38457,45.219997,98647.0,1.1720896
6629436,225.80998,45.219997,98642.0,1.1720301
6639663,225.21281,45.219997,98649.0,1.1721133
6661465,225.29738,45.219997,98648.0,1.1721014
6672389,225.12827,45.219997,98650.0,1.1721252
6683155,225.80998,45.219997,98642.0,1.1720301
6704436,225.04372,45.219997,98650.99,1.172137
6715048,225.04372,45.219997,98650.99,1.172137
6725436,225.12827,45.219997,98650.0,1.1721252
6747113,225.21281,45.219997,98649.0,1.1721133
6757469,225.21281,45.219997,98649.0,1.1721133
6767691,225.9791,45.219997,98640.0,1.1720064
6789467,225.38457,45.219997,98647.0,1.1720896
6799922,225.04372,45.219997,98650.99,1.172137
6811133,225.89455,45.219997,98641.0,1.1720183
6831533,225.46913,45.219997,98646.0,1.1720777
6843114,225.46913,45.219997,98646.0,1.1720777
6853436,225.29738,45.219997,98648.0,1.1721014
6875900,225.7228,45.219997,98643.0,1.172042
6886554,225.63823,45.219997,98644.0,1.1720539
6897436,225.46913,45.219997,98646.0,1.1720777
6919443,225.29738,45.21,98648.0,1.1721014
6929935,225.12827,45.21,98650.0,1.1721252
6940732,225.21281,45.21,98649.0,1.1721133
6962555,225.04372,45.21,98650.99,1.172137
6973452,225.7228,45.21,98643.0,1.172042
6985201,225.55368,45.21,98644.99,1.1720657
7006509,225.63823,45.219997,98644.0,1.1720539
7017807,225.55368,45.219997,98644.99,1.1720657
7028721,225.63823,45.219997,98644.0,1.1720539
7049439,225.63823,45.219997,98644.0,1.1720539
7060725,225.38457,45.219997,98647.0,1.1720896
7071438,225.63823,45.219997,98644.0,1.1720539
7093437,224.6183,45.21,98656.0,1.1721965
7103438,225.7228,45.21,98643.0,1.172042
7114543,225.29738,45.21,98648.0,1.1721014
7135436,225.21281,45.21,98649.0,1.1721133
7145454,225.38457,45.21,98647.0,1.1720896
7156706,225.38457,45.21,98647.0,1.1720896
7178598,225.21281,45.219997,98649.0,1.1721133
7188679,225.55368,45.219997,98644.99,1.1720657
7199439,224.70285,45.219997,98655.0,1.1721846
7222582,225.29738,45.21,98648.0,1.1721014
7233476,225.46913,45.21,98646.0,1.1720777
7244467,225.38457,45.21,98647.0,1.1720896
7266756,225.21281,45.21,98649.0,1.1721133
7277436,225.46913,45.21,98646.0,1.1720777
7288436,225.7228,45.21,98643.0,1.172042
7311886,225.21281,45.21,98649.0,1.1721133
7321437,225.29738,45.21,98648.0,1.1721014
7332522,225.46913,45.21,98646.0,1.1720777
7355378,224.95915,45.21,98651.99,1.1721488
7365448,225.04372,45.21,98650.99,1.172137
7376526,225.29738,45.21,98648.0,1.1721014
7398540,225.38457,45.21,98647.0,1.1720896
7409441,225.7228,45.21,98643.0,1.172042
7420436,225.7228,45.21,98643.0,1.172042
7441436,225.7228,45.21,98643.0,1.172042
7451536,225.38457,45.21,98647.0,1.1720896
7463119,225.7228,45.21,98643.0,1.172042
7483766,225.63823,45.21,98644.0,1.1720539
7495120,225.29738,45.21,98648.0,1.1721014
7505448,225.38457,45.21,98647.0,1.1720896
7527136,225.38457,45.21,98647.0,1.1720896
7537441,225.29738,45.21,98648.0,1.1721014
7548436,224.95915,45.21,98651.99,1.1721488
7569446,225.04372,45.21,98650.99,1.172137
7579903,225.38457,45.21,98647.0,1.1720896
7591087,225.80998,45.21,98642.0,1.1720301
7611799,225.21281,45.21,98649.0,1.1721133
7622563,225.55368,45.21,98644.99,1.1720657
7633445,225.29738,45.21,98648.0,1.1721014
7655449,225.29738,45.21,98648.0,1.1721014
7666586,225.29738,45.21,98648.0,1.1721014
7677913,225.7228,45.21,98643.0,1.172042
7699448,225.55368,45.21,98644.99,1.1720657
7710645,225.38457,45.21,98647.0,1.1720896
7721702,225.12827,45.21,98650.0,1.1721252
7743448,225.29738,45.21,98648.0,1.1721014
7754533,225.29738,45.21,98648.0,1.1721014
7766091,225.63823,45.21,98644.0,1.1720539
7787441,225.29738,45.21,98648.0,1.1721014
7798982,225.12827,45.21,98650.0,1.1721252
7809859,225.29738,45.21,98648.0,1.1721014
7831497,225.04372,45.21,98650.99,1.172137
7841791,225.21281,45.21,98649.0,1.1721133
