timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
717093825,717093622,-0.38557857,0.38975158,0.0001533319,0.0,0.0,0.0,0.0,-1.0
717097889,717097652,-0.3857163,0.38996726,0.00016772184,0.0,0.0,0.0,0.0,-1.0
717101838,717101629,-0.38568354,0.3900666,9.891105e-05,0.0,0.0,0.0,0.0,-1.0
717105918,717105622,-0.3855903,0.38988402,0.00039694674,0.0,0.0,0.0,0.0,-1.0
717109917,717109622,-0.38527018,0.38996273,0.000390196,0.0,0.0,0.0,0.0,-1.0
717113831,717113621,-0.38488513,0.38971138,0.0002465653,0.0,0.0,0.0,0.0,-1.0
717117879,717117640,-0.38480115,0.3894351,0.00016619715,0.0,0.0,0.0,0.0,-1.0
717121837,717121628,-0.38481382,0.38957047,0.00038348816,0.0,0.0,0.0,0.0,-1.0
717125865,717125635,-0.38522395,0.38961768,0.00021747795,0.0,0.0,0.0,0.0,-1.0
717129909,717129622,-0.38559595,0.38976952,0.000105185434,0.0,0.0,0.0,0.0,-1.0
717133835,717133622,-0.3856208,0.3898626,0.0002352797,0.0,0.0,0.0,0.0,-1.0
717137876,717137640,-0.38559246,0.38946205,0.00028541402,0.0,0.0,0.0,0.0,-1.0
717141823,717141622,-0.38541982,0.38915166,0.00031729403,0.0,0.0,0.0,0.0,-1.0
717145864,717145637,-0.3854863,0.3892713,0.00027890422,0.0,0.0,0.0,0.0,-1.0
717149886,717149622,-0.3853958,0.38970947,7.694187e-05,0.0,0.0,0.0,0.0,-1.0
717153842,717153628,-0.38540784,0.38993216,-5.598173e-05,0.0,0.0,0.0,0.0,-1.0
717157876,717157640,-0.38555074,0.39009908,0.0004819443,0.0,0.0,0.0,0.0,-1.0
717161830,717161622,-0.38551387,0.38995275,0.0006050847,0.0,0.0,0.0,0.0,-1.0
717165866,717165638,-0.38563284,0.3897668,0.00037618217,0.0,0.0,0.0,0.0,-1.0
717169907,717169622,-0.3852349,0.38964218,0.0005769942,0.0,0.0,0.0,0.0,-1.0
717173822,717173622,-0.3849522,0.3890519,0.00051791914,0.0,0.0,0.0,0.0,-1.0
717177867,717177640,-0.38512498,0.38905966,0.00046684043,0.0,0.0,0.0,0.0,-1.0
717181796,717181622,-0.38521963,0.3893073,0.0004555937,0.0,0.0,0.0,0.0,-1.0
717185891,717185651,-0.38539028,0.38957748,0.00043593842,0.0,0.0,0.0,0.0,-1.0
717189900,717189622,-0.38538522,0.38925046,0.0004995667,0.0,0.0,0.0,0.0,-1.0
717193875,717193628,-0.3854983,0.38947567,0.00057649164,0.0,0.0,0.0,0.0,-1.0
717197888,717197640,-0.38555443,0.39004925,0.00019656048,0.0,0.0,0.0,0.0,-1.0
717201822,717201622,-0.38528553,0.39041945,0.0001994635,0.0,0.0,0.0,0.0,-1.0
717205870,717205636,-0.3851229,0.39033663,1.7560227e-05,0.0,0.0,0.0,0.0,-1.0
717209832,717209635,-0.38534686,0.3902849,9.42213e-05,0.0,0.0,0.0,0.0,-1.0
717213879,717213628,-0.38531741,0.38990644,0.00029114514,0.0,0.0,0.0,0.0,-1.0
717217878,717217640,-0.38481715,0.39004532,-4.5136548e-07,0.0,0.0,0.0,0.0,-1.0
717221819,717221622,-0.38449565,0.38959637,0.00019073287,0.0,0.0,0.0,0.0,-1.0
717226667,717226460,-0.38468185,0.38929904,0.00026709706,0.0,0.0,0.0,0.0,-1.0
717230689,717230422,-0.38523287,0.38912886,3.2366162e-05,0.0,0.0,0.0,0.0,-1.0
717235433,717235221,-0.3860578,0.38944232,0.00032815136,0.0,0.0,0.0,0.0,-1.0
717239445,717239238,-0.38635588,0.389826,0.0002748325,0.0,0.0,0.0,0.0,-1.0
717243432,717243234,-0.3861415,0.39025155,0.0004547131,0.0,0.0,0.0,0.0,-1.0
717247640,717247222,-0.38557073,0.39004132,0.000471453,0.0,0.0,0.0,0.0,-1.0
717251455,717251222,-0.38506222,0.38971436,0.00053948903,0.0,0.0,0.0,0.0,-1.0
717255429,717255222,-0.384876,0.3895632,0.00043403357,0.0,0.0,0.0,0.0,-1.0
717259449,717259245,-0.38494998,0.38993073,0.0006187417,0.0,0.0,0.0,0.0,-1.0
717263434,717263225,-0.3851564,0.38980454,0.00048578274,0.0,0.0,0.0,0.0,-1.0
717267487,717267224,-0.38526633,0.38968804,8.268627e-05,0.0,0.0,0.0,0.0,-1.0
717271476,717271230,-0.3852765,0.3899339,0.00028004707,0.0,0.0,0.0,0.0,-1.0
