timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
716893477,inf,1,0,0,0
717908329,inf,1,0,0,0
718915449,inf,1,0,0,0
719926568,inf,1,0,0,0
720668439,inf,0,0,1,0
721689400,inf,0,0,1,0
722700289,inf,0,0,1,0
722908490,inf,0,0,0,0
723924482,inf,0,0,0,0
724937258,inf,0,0,0,0
725952485,inf,0,0,0,0
726962750,inf,0,0,0,0
727976473,inf,0,0,0,0
728996473,inf,0,0,0,0
730010838,inf,0,0,0,0
731019692,inf,0,0,0,0
732027707,inf,0,0,0,0
733039912,inf,0,0,0,0
734055857,inf,0,0,0,0
735061135,inf,0,0,0,0
736078558,inf,0,0,0,0
737097489,inf,0,0,0,0
738109216,inf,0,0,0,0
739126859,inf,0,0,0,0
740132479,inf,0,0,0,0
741139507,inf,0,0,0,0
742142796,inf,0,0,0,0
743148476,inf,0,0,0,0
744153014,inf,0,0,0,0
745169489,inf,0,0,0,0
746174632,inf,0,0,0,0
747177484,inf,0,0,0,0
748188476,inf,0,0,0,0
749207476,inf,0,0,0,0
750219528,inf,0,0,0,0
751238045,inf,0,0,0,0
752245487,inf,0,0,0,0
753259621,inf,0,0,0,0
754275573,inf,0,0,0,0
755287858,inf,0,0,0,0
756289499,inf,0,0,0,0
757293266,inf,0,0,0,0
758309514,inf,0,0,0,0
759322585,inf,0,0,0,0
760325157,inf,0,0,0,0
761336476,inf,0,0,0,0
762341488,inf,0,0,0,0
766382593,inf,0,0,0,0
767386628,inf,0,0,0,0
768388548,inf,0,0,0,0
769406041,inf,0,0,0,0
770424511,inf,0,0,0,0
771443489,inf,0,0,0,0
772454609,inf,0,0,0,0
773475644,inf,0,0,0,0
774491617,inf,0,0,0,0
775507726,inf,0,0,0,0
776523679,inf,0,0,0,0
777526560,inf,0,0,0,0
778545896,inf,0,0,0,0
779561722,inf,0,0,0,0
780575476,inf,0,0,0,0
781593564,inf,0,0,0,0
782603084,inf,0,0,0,0
783611497,inf,0,0,0,0
784620725,inf,0,0,0,0
785629494,inf,0,0,0,0
786636484,inf,0,0,0,0
787652480,inf,0,0,0,0
788665476,inf,0,0,0,0
789676594,inf,0,0,0,0
790694038,inf,0,0,0,0
791710078,inf,0,0,0,0
792726589,inf,0,0,0,0
793738616,inf,0,0,0,0
794739691,inf,0,0,0,0
795747765,inf,0,0,0,0
796755640,inf,0,0,0,0
797769480,inf,0,0,0,0
798785256,inf,0,0,0,0
799797817,inf,0,0,0,0
800813772,inf,0,0,0,0
801813851,inf,0,0,0,0
802821479,inf,0,0,0,0
803828476,inf,0,0,0,0
804832615,inf,0,0,0,0
805837485,inf,0,0,0,0
806854627,inf,0,0,0,0
807862649,inf,0,0,0,0
808870610,inf,0,0,0,0
809876542,inf,0,0,0,0
810895479,inf,0,0,0,0
811911491,inf,0,0,0,0
812915507,inf,0,0,0,0
813934062,inf,0,0,0,0
814948570,inf,0,0,0,0
815960476,inf,0,0,0,0
816976003,inf,0,0,0,0
817995642,inf,0,0,0,0
819015522,inf,0,0,0,0
820031490,inf,0,0,0,0
821041752,inf,0,0,0,0
822054571,inf,0,0,0,0
823070669,inf,0,0,0,0
824072501,inf,0,0,0,0
825081487,inf,0,0,0,0
826088476,inf,0,0,0,0
827098799,inf,0,0,0,0
828100646,inf,0,0,0,0
829104428,inf,0,0,0,0
830120397,inf,0,0,0,0
831133919,inf,0,0,0,0
832150626,inf,0,0,0,0
833168509,inf,0,0,0,0
834182815,inf,0,0,0,0
835198855,inf,0,0,0,0
836211642,inf,0,0,0,0
837219677,inf,0,0,0,0
838225162,inf,0,0,0,0
839240255,inf,0,0,0,0
843305873,inf,0,0,0,0
844311473,inf,0,0,0,0
845317476,inf,0,0,0,0
846332482,inf,0,0,0,0
847338789,inf,0,0,0,0
848353295,inf,0,0,0,0
849353487,inf,0,0,0,0
850372510,inf,0,0,0,0
851382606,inf,0,0,0,0
852400489,inf,0,0,0,0
853416476,inf,0,0,0,0
854432487,inf,0,0,0,0
855446609,inf,0,0,0,0
856447476,inf,0,0,0,0
857455565,inf,0,0,0,0
858471636,inf,0,0,0,0
859479703,inf,0,0,0,0
860495578,inf,0,0,0,0
861507483,inf,0,0,0,0
862527053,inf,0,0,0,0
863542607,inf,0,0,0,0
864562595,inf,0,0,0,0
865569531,inf,0,0,0,0
866581488,inf,0,0,0,0
867591490,inf,0,0,0,0
868608485,inf,0,0,0,0
869409067,inf,0,0,1,0
869838590,inf,0,0,0,1
870169742,inf,1,0,0,0
871172513,inf,1,0,0,0
872188462,inf,1,0,0,0
873193035,inf,1,0,0,0
874214124,inf,1,0,0,0
