timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
717331222,-0.0011683374,-0.0024417292,0.00051369035,3984,0,0.20745361,0.2923428,-9.661663,3984
717335222,-0.0006915076,-0.00016731423,0.0033231368,4000,0,0.2027229,0.29114673,-9.647005,4000
717339222,-0.00060343737,-4.9585557e-05,0.0037546058,4000,0,0.2007587,0.294763,-9.665069,4000
717343222,-0.0011933859,-0.0010747134,0.0014864855,4000,0,0.21229276,0.29533857,-9.668736,4000
717347251,0.0012427677,-0.0009784667,0.002605416,4029,0,0.2203203,0.28531504,-9.640503,4029
717351222,0.0010504094,-0.00022950314,0.0011264774,3971,0,0.21486837,0.28904867,-9.633043,3971
717355222,-0.00023265953,0.0013889814,0.0015600118,4000,0,0.2198582,0.2715365,-9.640802,4000
717359222,-0.00032546467,-0.00011590825,0.0009847475,4000,0,0.2175266,0.27630866,-9.642666,4000
717363222,0.0020700423,0.0011311272,0.0026576184,4000,0,0.21441807,0.28826082,-9.654389,4000
717367231,-0.0021219403,-0.0017022071,0.0006027431,4009,0,0.19872141,0.29326802,-9.660418,4009
717371222,-0.0011921767,-0.00054737355,0.0016014231,3991,0,0.20318064,0.28719842,-9.666115,3991
717375222,-0.001774804,-0.0009024149,0.004026583,4000,0,0.21135955,0.29866096,-9.66722,4000
717379222,-0.0009924489,-0.00011620156,0.0024659822,4000,0,0.21358766,0.29449207,-9.64545,4000
717383222,-0.0016261482,-0.00310269,0.001975247,4000,0,0.21236648,0.28545773,-9.647817,4000
717387253,-0.0015619646,0.00022754629,-0.00019366769,4031,0,0.21608695,0.2953543,-9.641345,4031
717391241,0.0008262978,-0.00034168424,0.0015453647,3988,0,0.22050357,0.29367498,-9.630971,3988
717395222,-0.0017436405,-0.0020492226,0.002202768,3981,0,0.20951942,0.29083523,-9.630742,3981
