timestamp,roll,pitch,yaw,thrust
717093808,-2.5688705,2.5977635,0.0016264514,0.0
717097872,-2.5689101,2.5977695,0.0016236594,0.0
717101821,-2.568913,2.597785,0.001624453,0.0
717105901,-2.5689425,2.5977979,0.0016231406,0.0
717109900,-2.5689685,2.5978062,0.0016215811,0.0
717113814,-2.5689394,2.597844,0.0016284601,0.0
717117862,-2.5689201,2.597821,0.0016276242,0.0
717121820,-2.5689075,2.5978148,0.0016284792,0.0
717125849,-2.56889,2.5978432,0.0016326386,0.0
717129892,-2.5688949,2.5978267,0.0016304564,0.0
717133818,-2.5689092,2.5978546,0.001632683,0.0
717137859,-2.5689065,2.597857,0.001633432,0.0
717141806,-2.568923,2.597817,0.0016266202,0.0
717145847,-2.5689275,2.5977955,0.0016248383,0.0
717149869,-2.5689425,2.5977855,0.0016220165,0.0
717153825,-2.568941,2.5978072,0.0016249324,0.0
717157859,-2.568972,2.597812,0.0016219105,0.0
717161813,-2.5689886,2.5978324,0.001623219,0.0
717165849,-2.569009,2.5978305,0.0016211532,0.0
717169890,-2.5690305,2.5978518,0.0016205293,0.0
717173805,-2.5690014,2.5978353,0.0016218376,0.0
717177850,-2.5689905,2.5977652,0.0016150009,0.0
717181779,-2.5690012,2.5977728,0.0016148363,0.0
717185870,-2.5689893,2.597752,0.0016131297,0.0
717189879,-2.5689995,2.5977418,0.0016115664,0.0
717193859,-2.5689967,2.5976677,0.0016030977,0.0
717197871,-2.5690124,2.5976903,0.0016045291,0.0
717201806,-2.5690238,2.5977178,0.0016067072,0.0
717205853,-2.5690012,2.5977414,0.0016120074,0.0
717209815,-2.5690017,2.5977628,0.0016138577,0.0
717213862,-2.569037,2.5978112,0.0016164075,0.0
717217861,-2.5689902,2.5978148,0.0016205388,0.0
717221803,-2.568946,2.5978727,0.0016308483,0.0
717226650,-2.5688944,2.597845,0.0016329332,0.0
717230672,-2.568852,2.5978382,0.0016363384,0.0
717235411,-2.5688682,2.5978253,0.001633504,0.0
717239422,-2.5689385,2.597844,0.0016283789,0.0
717243413,-2.5689614,2.5978692,0.0016285605,0.0
717247623,-2.5689952,2.5979102,0.0016307118,0.0
717251438,-2.568997,2.5979073,0.0016299589,0.0
717255408,-2.5689847,2.5979078,0.0016312827,0.0
717259432,-2.5689807,2.5979168,0.0016330277,0.0
717263415,-2.5689793,2.5979576,0.0016373042,0.0
717267470,-2.5689738,2.597942,0.0016359361,0.0
717271459,-2.5689666,2.5979486,0.0016372618,0.0
717275407,-2.5689564,2.5980022,0.0016438363,0.0
717279456,-2.5689075,2.5979586,0.0016435351,0.0
717283405,-2.5688589,2.5978904,0.0016409967,0.0
717287450,-2.568831,2.5979145,0.0016461721,0.0
717291620,-2.5687883,2.5979223,0.0016513458,0.0
717295417,-2.56875,2.5979385,0.0016567514,0.0
717299458,-2.5687482,2.5979152,0.0016543018,0.0
717303406,-2.5687442,2.5978787,0.0016510274,0.0
717307444,-2.5687566,2.5978997,0.0016518444,0.0
717311493,-2.5687828,2.5978923,0.001648691,0.0
717315509,-2.5687811,2.597866,0.0016457934,0.0
717319472,-2.5688298,2.597859,0.0016409055,0.0
717323417,-2.5688212,2.5978484,0.001639569,0.0
717327417,-2.5687876,2.5978522,0.0016442625,0.0
717331474,-2.5687952,2.5978873,0.0016473398,0.0
717335411,-2.568794,2.597933,0.0016520859,0.0
717339535,-2.568804,2.5979223,0.0016502697,0.0
717343406,-2.5688155,2.5979085,0.0016472364,0.0
717347451,-2.5688121,2.5979202,0.0016492434,0.0
717351489,-2.56887,2.597931,0.0016443059,0.0
717355410,-2.56892,2.5979238,0.001639488,0.0
717359465,-2.5689383,2.597877,0.001632109,0.0
717363496,-2.568955,2.5978665,0.0016289838,0.0
717367415,-2.5690303,2.5978265,0.001617051,0.0
717371484,-2.5690045,2.597853,0.001623355,0.0
717375415,-2.5690007,2.5978522,0.0016230652,0.0
717379450,-2.5689855,2.5978577,0.0016256316,0.0
717383411,-2.5689871,2.5978458,0.0016242672,0.0
717387664,-2.5689747,2.597905,0.0016326453,0.0
717391528,-2.5689602,2.5978858,0.0016313372,0.0
717395470,-2.5690057,2.5978813,0.0016263445,0.0
717399433,-2.5689905,2.5979152,0.0016318102,0.0
717404220,-2.5689847,2.5979161,0.0016323612,0.0
717409010,-2.5689394,2.597863,0.0016300514,0.0
717413043,-2.5688984,2.5978396,0.0016325256,0.0
717417006,-2.5688443,2.5978189,0.001634815,0.0
717421042,-2.568801,2.5978367,0.0016404369,0.0
717425042,-2.568774,2.5978944,0.0016495917,0.0
717429009,-2.5687284,2.5978768,0.0016516045,0.0
717433035,-2.5687022,2.5978916,0.0016562159,0.0
717437005,-2.5687342,2.597946,0.0016592267,0.0
717441042,-2.5687602,2.597961,0.0016581297,0.0
717445017,-2.568732,2.5979989,0.001664919,0.0
717449059,-2.56872,2.5979939,0.0016655845,0.0
717453054,-2.5687497,2.5979948,0.0016630806,0.0
717457007,-2.5687616,2.5979283,0.0016551608,0.0
717461041,-2.5687652,2.597934,0.0016543067,0.0
717465030,-2.5687723,2.597948,0.0016552312,0.0
717469051,-2.568742,2.5980165,0.0016662597,0.0
717473041,-2.5687118,2.5980225,0.0016701262,0.0
717477016,-2.5686595,2.5980382,0.0016758898,0.0
717481055,-2.5686815,2.5980365,0.0016741367,0.0
717485002,-2.5687068,2.598012,0.001668393,0.0
717489044,-2.5686872,2.59803,0.0016726436,0.0
717493058,-2.568676,2.5980587,0.0016763957,0.0
717497005,-2.568663,2.5980206,0.0016743626,0.0
717501052,-2.568702,2.5980654,0.001676086,0.0
717505012,-2.568687,2.5979946,0.001668246,0.0
717509061,-2.5686574,2.5979502,0.0016670991,0.0
717513078,-2.5686817,2.5979545,0.0016644737,0.0
717517017,-2.5687056,2.5978703,0.0016541919,0.0
717521050,-2.568729,2.597853,0.0016496032,0.0
717525008,-2.5687773,2.5978768,0.0016473666,0.0
717529020,-2.568789,2.5978978,0.0016485385,0.0
717533029,-2.568741,2.5979588,0.0016601223,0.0
717537002,-2.5687003,2.5979855,0.0016667946,0.0
717541052,-2.5686707,2.5979927,0.0016698313,0.0
717545006,-2.5686276,2.5979893,0.0016739126,0.0
717549048,-2.568629,2.597962,0.0016706565,0.0
717553071,-2.568667,2.5979772,0.0016691256,0.0
717557003,-2.5686727,2.598003,0.0016707055,0.0
717561059,-2.5686886,2.5980043,0.001669347,0.0
717565012,-2.5686948,2.5980158,0.0016700993,0.0
717569044,-2.5686638,2.598061,0.0016786641,0.0
717573053,-2.5686536,2.5980597,0.0016802178,0.0
717577005,-2.5686958,2.5980787,0.0016769965,0.0
717581837,-2.5686972,2.5980568,0.0016743679,0.0
717585812,-2.568702,2.598066,0.0016751647,0.0
717589839,-2.5687132,2.5980098,0.0016676522,0.0
717593779,-2.5687308,2.597983,0.0016633504,0.0
717597812,-2.5687582,2.5979939,0.0016619756,0.0
717601814,-2.5687876,2.598005,0.0016605067,0.0
717605814,-2.5687869,2.5979702,0.0016570201,0.0
717609860,-2.5687618,2.5979323,0.0016547285,0.0
717613804,-2.568756,2.5978913,0.0016507193,0.0
717617797,-2.568766,2.5978665,0.0016475938,0.0
717621850,-2.5687768,2.5978544,0.001645434,0.0
717625810,-2.568789,2.5978377,0.0016415205,0.0
717629828,-2.568807,2.5978086,0.0016370876,0.0
717633834,-2.5688343,2.597777,0.0016310753,0.0
717637819,-2.568866,2.597815,0.0016324339,0.0
717641821,-2.56884,2.5978084,0.0016345178,0.0
717645839,-2.5688019,2.5978057,0.0016372192,0.0
717649845,-2.568825,2.5977926,0.0016335621,0.0
717653819,-2.5688403,2.5978367,0.0016364728,0.0
717657802,-2.5688496,2.597854,0.0016383381,0.0
717661830,-2.5688019,2.5977995,0.0016368299,0.0
717665824,-2.5688,2.597816,0.0016384819,0.0
717669822,-2.5688,2.5978491,0.0016419261,0.0
717673821,-2.568853,2.5978506,0.0016375906,0.0
717677810,-2.568859,2.597856,0.0016375204,0.0
717681837,-2.568859,2.5978475,0.0016363102,0.0
717685833,-2.5688941,2.5978513,0.0016339084,0.0
717689843,-2.5688972,2.5978355,0.0016314313,0.0
717693856,-2.56888,2.597826,0.0016321717,0.0
717697856,-2.5688372,2.5978374,0.0016379184,0.0
717701853,-2.5688114,2.5978196,0.0016388848,0.0
717705831,-2.5687947,2.5978131,0.0016391485,0.0
717709842,-2.568769,2.597786,0.0016384871,0.0
717713833,-2.5687294,2.5977364,0.0016366134,0.0
717717850,-2.5687346,2.5977104,0.0016337399,0.0
717721854,-2.5687494,2.5977206,0.0016333503,0.0
717725838,-2.5687187,2.5977626,0.0016404364,0.0
717729843,-2.5687234,2.5977187,0.0016354382,0.0
717733832,-2.568736,2.5977345,0.0016359754,0.0
717737854,-2.5687847,2.5977814,0.0016356797,0.0
717741891,-2.5688386,2.5977912,0.001632958,0.0
717746625,-2.5688384,2.5977416,0.0016270723,0.0
717750677,-2.5688567,2.5977616,0.0016270515,0.0
717754711,-2.5688765,2.5977437,0.0016231469,0.0
717758621,-2.5689266,2.5977237,0.0016169961,0.0
717762665,-2.568913,2.5977194,0.0016182942,0.0
717766627,-2.5689237,2.5976915,0.0016133892,0.0
717770658,-2.5689387,2.5976942,0.0016126854,0.0
717774660,-2.568966,2.5976813,0.0016082127,0.0
717778614,-2.5690014,2.5976872,0.0016055075,0.0
717783437,-2.5690067,2.5977182,0.0016083244,0.0
717787405,-2.5689719,2.597748,0.0016144782,0.0
717791482,-2.5689569,2.5977743,0.0016186377,0.0
717795412,-2.5689435,2.5977886,0.0016223787,0.0
717799496,-2.5689151,2.597722,0.0016174709,0.0
717803446,-2.5689104,2.597726,0.0016190702,0.0
717807415,-2.5688856,2.5977075,0.0016180695,0.0
717811480,-2.568884,2.5977383,0.0016222728,0.0
717815409,-2.5688663,2.597784,0.0016290187,0.0
717819419,-2.5688558,2.597809,0.0016323942,0.0
717823456,-2.5688894,2.5978117,0.0016298041,0.0
717827416,-2.5689666,2.59789,0.0016314854,0.0
717831468,-2.5689578,2.5978835,0.0016309761,0.0
717835441,-2.5689638,2.5978653,0.0016290327,0.0
717839377,-2.5689878,2.5978644,0.0016261804,0.0
717843456,-2.568974,2.5978832,0.0016297274,0.0
717847499,-2.5689602,2.5978878,0.0016312981,0.0
717851478,-2.5689418,2.5979133,0.0016358264,0.0
717855458,-2.5688972,2.5979369,0.0016425042,0.0
717859382,-2.5689034,2.5979388,0.0016425534,0.0
717863441,-2.568908,2.5979588,0.0016442193,0.0
717867404,-2.5689042,2.597973,0.0016458471,0.0
717871535,-2.5688713,2.5980165,0.0016540167,0.0
717875457,-2.5688376,2.5980062,0.0016555339,0.0
717879429,-2.56881,2.5979924,0.0016560825,0.0
717883449,-2.5688121,2.5980196,0.0016596427,0.0
717887412,-2.5688493,2.5979886,0.0016532706,0.0
717891446,-2.5688515,2.5979393,0.0016472893,0.0
717895567,-2.5688772,2.5978904,0.0016393409,0.0
717899475,-2.568922,2.5978746,0.0016338334,0.0
717903439,-2.568892,2.5978653,0.0016352704,0.0
717907409,-2.5688703,2.5978632,0.0016369494,0.0
717911455,-2.5688918,2.5978618,0.0016349561,0.0
717915438,-2.5689077,2.5978847,0.0016359104,0.0
717919638,-2.5689645,2.5979154,0.0016337986,0.0
717924247,-2.5689864,2.5979476,0.0016354854,0.0
717929056,-2.569011,2.5979779,0.0016368765,0.0
717933006,-2.569021,2.5979927,0.0016371731,0.0
717937033,-2.5690265,2.5979455,0.0016312642,0.0
717941004,-2.5690165,2.5978796,0.0016260615,0.0
717945046,-2.5690513,2.5978563,0.0016196286,0.0
717949043,-2.5690892,2.5978506,0.0016156523,0.0
717953105,-2.5691066,2.5978322,0.0016111732,0.0
717957002,-2.5691352,2.5977957,0.0016050851,0.0
717961001,-2.5691574,2.5977921,0.0016017075,0.0
717965030,-2.5691483,2.5977702,0.0016002865,0.0
717969043,-2.5691009,2.5977824,0.0016067112,0.0
717973092,-2.5691214,2.597717,0.0015979685,0.0
717977004,-2.5691366,2.5976758,0.0015913307,0.0
717981017,-2.5691488,2.597675,0.0015903501,0.0
717985053,-2.5691166,2.597602,0.0015852167,0.0
