timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
719103436,159.06235,45.73,99429,1.181381
719125439,158.47047,45.739998,99436,1.1814642
719137142,158.55502,45.739998,99435,1.1814523
719146541,158.47047,45.739998,99436,1.1814642
719167809,158.63959,45.73,99434,1.1814404
719177456,157.87859,45.73,99443,1.1815473
719189422,158.47047,45.73,99436,1.1814642
719211764,158.30136,45.73,99438,1.1814879
719222028,158.72414,45.73,99432.99,1.1814284
719233055,158.55502,45.73,99435,1.1814523
719254544,158.30136,45.73,99438,1.1814879
719265583,157.96315,45.73,99442,1.1815355
719277862,158.38593,45.73,99437,1.181476
719299436,158.30136,45.739998,99438,1.1814879
719310577,158.13225,45.739998,99440,1.1815116
719321225,158.21681,45.739998,99438.99,1.1814997
719342072,158.47047,45.739998,99436,1.1814642
719353117,158.55502,45.739998,99435,1.1814523
719363475,158.47047,45.739998,99436,1.1814642
719385436,158.38593,45.739998,99437,1.181476
719395445,158.80869,45.739998,99432,1.1814166
719406539,158.63959,45.739998,99434,1.1814404
719429961,157.96315,45.739998,99442,1.1815355
719441142,158.38593,45.739998,99437,1.181476
719451753,158.47047,45.739998,99436,1.1814642
719473115,158.47047,45.739998,99436,1.1814642
719483436,158.72414,45.739998,99432.99,1.1814284
719494589,159.14691,45.739998,99428,1.1813691
719515436,158.80869,45.739998,99432,1.1814166
719526533,158.38593,45.739998,99437,1.181476
719537479,158.89325,45.739998,99431,1.1814047
719558161,158.55502,45.739998,99435,1.1814523
719569089,158.21681,45.739998,99438.99,1.1814997
719579463,158.72414,45.739998,99432.99,1.1814284
719601125,158.72414,45.739998,99432.99,1.1814284
719611449,158.72414,45.739998,99432.99,1.1814284
719622582,158.47047,45.739998,99436,1.1814642
719643753,158.38593,45.739998,99437,1.181476
719654314,158.63959,45.739998,99434,1.1814404
719663464,157.70949,45.739998,99444.99,1.181571
719685439,158.47047,45.739998,99436,1.1814642
719697196,158.13225,45.739998,99440,1.1815116
719707436,158.38593,45.739998,99437,1.181476
719729148,158.72414,45.739998,99432.99,1.1814284
719739483,158.38593,45.739998,99437,1.181476
719750537,158.63959,45.739998,99434,1.1814404
719771436,158.21681,45.739998,99438.99,1.1814997
719781566,158.38593,45.739998,99437,1.181476
719793118,158.55502,45.739998,99435,1.1814523
719813806,158.21681,45.739998,99438.99,1.1814997
719825132,158.21681,45.739998,99438.99,1.1814997
719835436,158.9778,45.739998,99430,1.1813929
719857450,158.80869,45.739998,99432,1.1814166
719867439,158.80869,45.739998,99432,1.1814166
719878550,158.47047,45.739998,99436,1.1814642
719899768,158.47047,45.739998,99436,1.1814642
719909870,159.23146,45.739998,99426.99,1.1813571
719921054,158.55502,45.739998,99435,1.1814523
719942523,158.38593,45.75,99437,1.181476
719953905,158.30136,45.75,99438,1.1814879
719964447,158.38593,45.75,99437,1.181476
719986112,158.21681,45.739998,99438.99,1.1814997
719996436,158.72414,45.739998,99432.99,1.1814284
720007439,159.06235,45.739998,99429,1.181381
720029483,158.38593,45.75,99437,1.181476
720040436,158.63959,45.75,99434,1.1814404
720050831,158.55502,45.75,99435,1.1814523
720072435,158.38593,45.75,99437,1.181476
720082693,158.63959,45.75,99434,1.1814404
720093490,158.63959,45.75,99434,1.1814404
720114683,158.13225,45.75,99440,1.1815116
720126928,158.13225,45.75,99440,1.1815116
720137435,158.63959,45.75,99434,1.1814404
720159441,158.38593,45.75,99437,1.181476
720171040,158.30136,45.75,99438,1.1814879
720181436,158.63959,45.75,99434,1.1814404
720203442,158.72414,45.739998,99432.99,1.1814284
720214911,158.9778,45.739998,99430,1.1813929
720225447,158.9778,45.739998,99430,1.1813929
720247439,158.21681,45.739998,99438.99,1.1814997
720259139,158.47047,45.739998,99436,1.1814642
720269436,158.38593,45.739998,99437,1.181476
720290909,158.30136,45.739998,99438,1.1814879
720301447,158.89325,45.739998,99431,1.1814047
720312436,158.72414,45.739998,99432.99,1.1814284
720334972,157.96315,45.739998,99442,1.1815355
720345447,158.47047,45.739998,99436,1.1814642
720356475,159.06235,45.739998,99429,1.181381
720378764,158.89325,45.75,99431,1.1814047
720389436,158.21681,45.75,99438.99,1.1814997
720400436,158.0477,45.75,99441,1.1815236
720423889,158.21681,45.739998,99438.99,1.1814997
720434706,158.47047,45.739998,99436,1.1814642
720445447,158.30136,45.739998,99438,1.1814879
720466780,158.38593,45.75,99437,1.181476
720477436,158.47047,45.75,99436,1.1814642
720488436,157.70949,45.75,99444.99,1.181571
720510507,159.06235,45.75,99429,1.181381
720520597,158.63959,45.75,99434,1.1814404
720532249,158.63959,45.75,99434,1.1814404
720552979,158.89325,45.739998,99431,1.1814047
720564498,158.38593,45.739998,99437,1.181476
720574879,158.38593,45.739998,99437,1.181476
720596383,158.72414,45.75,99432.99,1.1814284
720606536,158.63959,45.75,99434,1.1814404
720617438,158.21681,45.75,99438.99,1.1814997
720638497,158.21681,45.75,99438.99,1.1814997
720649436,158.38593,45.75,99437,1.181476
720660314,158.38593,45.75,99437,1.181476
720681203,158.63959,45.75,99434,1.1814404
720692303,158.55502,45.75,99435,1.1814523
720702495,158.47047,45.75,99436,1.1814642
720724439,158.30136,45.75,99438,1.1814879
720736944,158.80869,45.75,99432,1.1814166
720748368,158.80869,45.75,99432,1.1814166
720772313,158.47047,45.75,99436,1.1814642
720781436,158.30136,45.75,99438,1.1814879
720793131,159.06235,45.75,99429,1.181381
720813465,158.55502,45.75,99435,1.1814523
720824765,158.9778,45.75,99430,1.1813929
720836314,158.89325,45.75,99431,1.1814047
720857436,158.55502,45.75,99435,1.1814523
720868439,158.0477,45.75,99441,1.1815236
720880958,158.55502,45.75,99435,1.1814523
720902544,158.47047,45.75,99436,1.1814642
