timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
717825041,717825041,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717848935,717848935,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717872770,717872770,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717896957,717896957,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717920946,717920946,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717942372,717942372,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717966572,717966572,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
717986728,717986728,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718010371,718010371,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718034340,718034340,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718054570,718054570,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718078667,718078667,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718098342,718098342,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718122545,718122545,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718142340,718142340,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718166693,718166693,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718191129,718191129,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718211124,718211124,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718235329,718235329,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718255336,718255336,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718279157,718279157,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718303138,718303138,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718323939,718323939,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718348225,718348225,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718368703,718368703,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718388701,718388701,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718409031,718409031,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718433557,718433557,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718453561,718453561,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718474327,718474327,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718498512,718498512,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718522316,718522316,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718542316,718542316,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718563096,718563096,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718587110,718587110,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718607101,718607101,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718631119,718631119,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718651116,718651116,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718675478,718675478,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718699346,718699346,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718723119,718723119,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718747478,718747478,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718767305,718767305,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718787308,718787308,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718811134,718811134,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718831126,718831126,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718851128,718851128,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718871123,718871123,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718895299,718895299,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718915319,718915319,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718939126,718939126,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718959133,718959133,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
718979125,718979125,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719000261,719000261,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719019891,719019891,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719039895,719039895,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719063894,719063894,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719083916,719083916,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719105928,719105928,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719129781,719129781,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719153874,719153874,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719177909,719177909,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719201533,719201533,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719221826,719221826,18,255,0,0,0,1094,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719245808,719245808,18,255,0,0,0,1101,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719269822,719269822,18,255,0,0,0,1145,1934,1094,1934,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719293750,719293750,18,255,0,0,0,1625,1868,1094,1850,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719317792,719317792,18,255,0,0,0,1433,1720,1094,1697,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719341857,719341857,18,255,0,0,0,1573,1511,1094,1492,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719365888,719365888,18,255,0,0,0,1679,1522,1094,1514,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719389840,719389840,18,255,0,0,0,1457,1518,1094,1507,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719413854,719413854,18,255,0,0,0,1662,1513,1094,1511,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719437522,719437522,18,255,0,0,0,1594,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719461744,719461744,18,255,0,0,0,1482,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719485871,719485871,18,255,0,0,0,1506,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719509821,719509821,18,255,0,0,0,1503,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719533879,719533879,18,255,0,0,0,1503,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719557864,719557864,18,255,0,0,0,1510,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719581895,719581895,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719605835,719605835,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719629751,719629751,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719653781,719653781,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719677517,719677517,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719697532,719697532,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719721541,719721541,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719745528,719745528,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719765780,719765780,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719790335,719790335,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719813761,719813761,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719837857,719837857,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719862128,719862128,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719885725,719885725,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719909844,719909844,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719930366,719930366,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719954326,719954326,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
719978381,719978381,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
720002340,720002340,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
720023100,720023100,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
720047351,720047351,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
720071107,720071107,18,255,0,0,0,1512,1513,1094,1509,1233,1640,1094,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,0,0,4
